RestaurantName,Street,StreetNumber,City
Cozy Corner of Rooftop,Linda Glens,843,East Andreamouth
Savory Grill of Palace,Jackson Course,0547,Longhaven
Delicious Café of Rooftop,Johnson Radial,9339,West Susanmouth
Savory Bistro of Rooftop,Nicholas Vista,40022,Weissmouth
Savory Spot of Palace,Mitchell Extension,33039,West Brian
Hearty Plate of Hill,Michael Groves,46849,New Nicholas
Savory Bistro of Rooftop,Hogan Ports,52380,North Teresa
Hearty Tavern of River,Dominic Lodge,8552,Cartermouth
Spicy Grill of Hill,Valenzuela Mission,9750,Scottport
Golden Kitchen of Hut,Erin Street,95089,New Jennifer
Hungry Bistro of Hut,Stewart Throughway,066,Longhaven
Delicious Tavern of Rooftop,Jason Street,61477,East Theresa
Cozy Tavern of Garden,Kelly Shore,4514,Stewartshire
Golden Café of Hill,Henson Shoal,83383,New Joshua
Golden Plate of Rooftop,Wilson Forest,2601,Gonzalezton
Hungry Spot of Rooftop,Hernandez Vista,73711,West Coreyside
Hungry Oven of Parlor,Larry Parkway,05331,Morrisfurt
Tasty Oven of Garden,Powers Cove,18322,Harriston
Hearty Grill of Hill,Conway Curve,63441,West George
Delicious Spot of Hut,Kim Junction,42524,Payneshire
Golden Oven of Garden,Bailey Well,50508,Lorihaven
Hungry Spot of Hill,Lucas Springs,1398,Oliverbury
Spicy Grill of Palace,Lopez Viaduct,506,New Danieltown
Savory Grill of Lake,Robin Mountain,5775,New Davidtown
Savory Bistro of Palace,David Land,57875,Thompsonmouth
Delicious Bistro of Parlor,Mary Roads,3234,New Natalie
Golden Corner of Hut,Jacqueline Throughway,18022,West Jeffrey
Spicy Kitchen of Hill,Pamela Plaza,0767,Perezbury
Hearty Tavern of Hut,Mcdaniel Mews,556,Kentstad
Hungry Plate of Rooftop,Steven Garden,83036,Barrettville
Spicy Grill of Garden,Michael Ferry,27766,North Vanessa
Spicy Plate of Station,Johnson Highway,849,Bradleyfurt
Tasty Diner of Rooftop,Frank Flat,668,New Gina
Savory Diner of River,Bennett Lakes,6162,Hamiltonburgh
Golden Oven of Palace,Dorsey Extensions,163,Michaelview
Golden Spot of Parlor,Daniel Ridges,119,North Yvettefort
Savory Tavern of Garden,Hayes Ports,082,South Garychester
Hungry Oven of Rooftop,Robinson Village,013,Laurenport
Savory Spot of River,Colton Common,9307,Kristinmouth
Hearty Oven of Lake,Crystal Ranch,3518,North Catherineborough
Tasty Grill of Rooftop,Stephanie Loop,67794,Reedtown
Tasty Café of Lake,Samantha Hill,4777,East Rachel
Spicy Kitchen of Rooftop,Jessica Wells,701,West Megan
Cozy Grill of Hill,Gerald Turnpike,21023,Joshuatown
Cozy Grill of Palace,James Harbor,55124,West Gregoryburgh
Golden Diner of Palace,Vanessa Motorway,265,Matthewtown
Cozy Kitchen of River,Haynes Prairie,44189,Woodsshire
Cozy Oven of Parlor,James Spurs,315,West Brenda
Savory Corner of River,Owens Corners,68155,Sanfordville
Savory Corner of Palace,Osborn Turnpike,063,New Jamietown
Spicy Oven of Station,Jennifer Landing,147,West Brent
Hungry Corner of Hill,Garza Pike,40066,Scottton
Golden Plate of Station,Michelle Fork,824,South Ryan
Hungry Corner of Lake,Clayton Neck,59493,Port Annettehaven
Delicious Café of Palace,Carlos Heights,93538,Rebeccaburgh
Savory Plate of Palace,William Trafficway,17090,East Kimberlyside
Spicy Diner of Parlor,Richard Village,09378,Port Jackiebury
Savory Tavern of River,David Prairie,35443,Lake Tammy
Golden Bistro of Palace,Powell Grove,363,Lake Tammy
Cozy Spot of Palace,Fischer Centers,06112,Priceland
Hungry Tavern of Rooftop,Stephanie Mount,07432,North Kathryn
Cozy Plate of River,Troy Ferry,17649,East Coryport
Savory Plate of Parlor,Elliott Fork,0368,East Jill
Golden Diner of Parlor,Morris Pass,4097,East Jason
Delicious Tavern of River,Roy Points,84402,Barajasberg
Tasty Café of Rooftop,Stephanie Lodge,91417,Gillmouth
Hearty Oven of Hut,Stanley Shoal,90536,Jeremiahville
Hungry Tavern of Parlor,Huerta Village,447,East Jimburgh
Hearty Kitchen of Parlor,Derek Drive,16834,Matthewshire
Hungry Corner of Palace,Amanda Track,43064,East Joseview
Savory Café of Garden,Jeremiah Parks,660,Maxwellport
Tasty Grill of Hut,Miguel River,50976,Martinbury
Spicy Grill of Hill,Michael Harbor,481,North Michael
Golden Bistro of Hut,Aguilar Haven,8313,Stewartshire
Hungry Kitchen of Rooftop,Mark Bridge,6684,Florestown
Golden Diner of Parlor,Ruth Drive,2317,North Jimmychester
Hungry Oven of River,Weiss Road,723,New Andrewchester
Hearty Tavern of Hill,Banks Underpass,881,West Heatherhaven
Hearty Oven of Hut,Eric Burgs,5665,Port Jesseberg
Hungry Grill of Parlor,Jones Lake,205,New Patriciatown
Savory Café of Parlor,Sandra Extension,9158,Wolfefurt
Hearty Café of Garden,Jennifer Summit,338,Juliastad
Tasty Café of River,Lauren Courts,4397,Lopezhaven
Tasty Tavern of Rooftop,Oliver Island,9297,North Stephaniefort
Hungry Corner of River,Angela Mountain,8759,West Michael
Cozy Bistro of River,Dillon Meadow,4053,East Ericastad
Tasty Spot of Palace,Christopher Walks,20850,New Vanessa
Savory Spot of Rooftop,Walsh Road,8502,Robinsonberg
Cozy Plate of Hut,Sarah Gateway,432,Lake Walterfurt
Hungry Plate of Lake,Robert Rest,64623,Samuelshire
Hearty Café of Station,Breanna Coves,273,Jenniferchester
Hearty Corner of Hut,Chavez Forge,1654,Hornchester
Hungry Kitchen of Palace,Taylor Station,7447,Alexanderborough
Savory Bistro of Parlor,Wolfe Station,227,East Justinland
Delicious Tavern of Station,Daniels Roads,37467,South Monicaburgh
Hungry Oven of Rooftop,Hoffman Summit,906,Lake Markhaven
Delicious Plate of Lake,Jose Pine,998,Port David
Tasty Kitchen of Rooftop,Courtney Burgs,8875,Scottton
Savory Grill of Rooftop,Hodges Harbors,9258,East Stanley
Hungry Tavern of Parlor,Lisa Trafficway,37306,Kristinmouth
Hearty Grill of Rooftop,Dustin Island,5495,Jenniferchester
Tasty Bistro of Parlor,Carol Radial,188,Ferrellville
Cozy Diner of Station,Jason Mount,5395,Leonberg
Tasty Oven of River,William Shores,495,Kathrynberg
Hungry Grill of River,Joyce Glen,4521,East David
Spicy Tavern of Lake,Smith Road,8928,New Sara
Savory Plate of Station,Lee Circles,9138,West George
Golden Kitchen of Garden,Trevor Summit,36042,Johnsonshire
