RestaurantName,Street,StreetNumber,City
Tasty Tavern of Hut,Hull Wells,789,North Christopher
Hungry Spot of Lake,Berg Haven,4032,North Joel
Spicy Bistro of Hut,Cruz Loaf,0107,Ortizbury
Spicy Oven of Hut,Johnathan Turnpike,83164,Reginabury
Tasty Oven of Parlor,Anthony Field,10532,West Jameston
Delicious Bistro of Rooftop,Stephen Square,6354,East Jonathanfort
Golden Plate of Palace,Rivera Park,6117,New Melissaville
Delicious Corner of Hill,Robert Freeway,823,Prestonberg
Hungry Spot of Rooftop,Roberts Dale,56705,Port Robertfurt
Cozy Café of Hut,Dean Ville,743,Davidmouth
Delicious Tavern of Station,Jeffery Trail,659,East Robert
Tasty Grill of Parlor,Ariel Square,243,East Jorge
Savory Corner of Hill,Edward Parkways,83053,South Michael
Hungry Plate of Palace,Gray Harbor,5332,Scotttown
Spicy Oven of Hut,Denise Ways,65868,Christopherstad
Golden Grill of Garden,Matthew Circles,95518,New Julieview
Delicious Oven of Rooftop,Porter Cliffs,00977,North Jamesland
Tasty Diner of Lake,George Knolls,18476,Lake Hunter
Hungry Café of Hut,Kathy Parkway,7776,Alexandraport
Delicious Bistro of River,Jackson Gateway,4622,Katherineshire
Tasty Kitchen of Rooftop,Turner Square,946,South Michael
Hearty Spot of River,James Corners,3938,West Derrickfort
Delicious Grill of Lake,Kim Extension,006,Mccoymouth
Tasty Grill of Garden,Stanley Rapid,175,Ortizbury
Tasty Grill of Palace,Darius Road,891,Comptonmouth
Tasty Kitchen of Parlor,Justin Village,683,Singletonhaven
Tasty Oven of River,Jonathan Burg,615,Kathleenland
Savory Tavern of River,Barrera Forest,18118,North Samuel
Golden Spot of River,Silva Spring,474,New Bryanside
Tasty Plate of Rooftop,Frank Mission,6325,West Christopherfurt
Delicious Spot of Parlor,Amy Lights,63619,Austinton
Cozy Plate of Station,Daniel Mills,36808,Gregville
Golden Café of Hill,Robert Street,2588,Hubbardstad
Cozy Grill of Rooftop,Wilson Green,73993,Webershire
Delicious Café of Parlor,Garrett Turnpike,61376,Port Davidville
Golden Oven of Station,Ann Pine,5713,Lake Chad
Tasty Corner of Garden,Anthony Turnpike,602,Port Lisaville
Golden Café of Lake,Peterson Plaza,787,Michaeltown
Golden Corner of River,Rachel Locks,3944,Port Gregory
Hungry Bistro of Rooftop,Wright Ferry,288,West Kellimouth
Savory Corner of Lake,Manning Way,9812,Underwoodville
Delicious Grill of Rooftop,Wilson Keys,601,Paulton
Tasty Grill of Rooftop,Bruce Radial,33686,Willischester
Tasty Kitchen of Lake,Giles Stream,18482,Lake Maryfurt
Savory Spot of Palace,William Key,94984,Port Margaretfurt
Hearty Bistro of Station,Barnett Prairie,915,Gaystad
Hungry Grill of Palace,Turner Inlet,84931,Davisport
Hearty Spot of Station,Bell Isle,957,East William
Golden Spot of Station,Hess Cove,97670,Debramouth
Hungry Grill of Parlor,Huffman Spur,60242,Lindseyhaven
Hearty Corner of River,Allen Pass,5648,West Nancy
Delicious Kitchen of Parlor,Ponce Valleys,219,Mullenshire
Golden Corner of Parlor,Jeffery Villages,81985,East Martinland
Delicious Corner of Garden,Kelly Skyway,656,New Michaelview
Golden Diner of River,Lucas Courts,919,West Richard
Hearty Plate of Lake,Romero Glens,0140,Kathleenland
Delicious Grill of River,John Trail,421,Port Mariachester
Spicy Grill of Hill,Nancy Spring,34178,Gatesville
Hungry Tavern of Hill,Jeremiah Spurs,687,Butlerport
Hungry Tavern of Station,Ortega Mountains,366,Port Christinaborough
Spicy Kitchen of Rooftop,Pineda Creek,6881,East Adamchester
Savory Tavern of Hill,Alison Cliffs,5610,Clarkton
Tasty Kitchen of Parlor,Suzanne Ville,96604,New Bryanside
Delicious Plate of Parlor,Wheeler Station,239,South Karen
Spicy Plate of Garden,Brian Drive,978,Wandachester
Spicy Tavern of Parlor,Sims Walk,207,Wuberg
Spicy Café of Garden,Veronica Via,32677,Mccoymouth
Delicious Spot of Lake,Garcia Stravenue,248,Veronicafort
Tasty Oven of Lake,Jamie Roads,03111,Sanchezport
Savory Café of Hill,Gardner Freeway,19506,Maryborough
Spicy Diner of Garden,Shawn Point,11706,Emilystad
Delicious Tavern of Rooftop,Emily Points,539,Rochahaven
Spicy Oven of Palace,Philip Unions,82090,Lake Michael
Spicy Kitchen of River,Allen Road,0034,Nicholeview
Golden Diner of River,Raymond Squares,11596,South Wandafort
Golden Café of Lake,Marissa Meadows,0847,Lake Traciberg
Tasty Spot of Palace,Hammond Trail,537,Port Rebecca
Hearty Corner of Lake,Elizabeth Manor,4876,Quinnhaven
Tasty Spot of Garden,Roth Meadows,6623,North Jamesland
Savory Plate of Station,Kaufman Drive,497,Youngfurt
Savory Diner of Palace,Wiggins Forges,9827,New Dustin
Spicy Kitchen of Rooftop,Ramos Neck,646,West Katelynville
Tasty Tavern of Lake,Suzanne Lane,779,Lake Sandra
Hungry Diner of River,Marshall Lake,982,East Jonathanfort
Savory Diner of Hut,Susan Fields,13003,West Matthewberg
Hungry Grill of Lake,Reyes Brook,0585,Matthewmouth
Savory Diner of Station,Stokes Trafficway,653,Rodriguezside
Hearty Kitchen of Station,Herring Fall,58595,New Johnchester
Hungry Corner of Rooftop,Lewis Drive,1399,Jeffreystad
Hungry Tavern of Parlor,Luke Streets,278,North Jessica
Cozy Corner of Parlor,Jill Lock,5143,Kellimouth
Savory Plate of Station,Salazar Station,405,Lanechester
Hearty Plate of Rooftop,Williams Mission,78317,North Leroyside
Savory Café of Hill,Hebert Pines,176,South Charlesview
Hearty Oven of Lake,Cabrera Spurs,29892,West Jane
Delicious Diner of Palace,Patterson Summit,4721,Keithside
Delicious Plate of Garden,Nicholas Villages,4719,North Matthewfurt
Savory Tavern of Garden,Harrison Burg,509,Daletown
Spicy Tavern of Station,Wilson Turnpike,67974,Suzannemouth
Tasty Plate of Hill,Thomas Ramp,36826,West Colleen
Hungry Corner of Parlor,Christine Divide,6588,South Ryanborough
Hungry Corner of River,Carson Lane,4594,Port Donnaborough
Hearty Grill of Rooftop,Smith Park,9570,East Kristinbury
Tasty Spot of Lake,Eric Forge,603,Austinton
Savory Plate of Parlor,Hartman Plains,0439,Howardbury
Hungry Grill of River,Jason Shoals,89405,Ortizbury
Savory Spot of Parlor,Wyatt Pine,621,South Stevenfurt
Delicious Kitchen of Hut,Arroyo Lodge,638,South Paula
Savory Spot of Parlor,Patricia Club,164,Lake Davidfurt
Spicy Spot of Rooftop,Moore Cliffs,6917,South Stephenstad
Hearty Spot of Hut,Andrews Hills,88969,South Ericside
Hungry Bistro of River,Gray Estate,23568,Markhaven
Spicy Bistro of Lake,Harris Tunnel,66990,Lake Thomasmouth
Savory Corner of Lake,Arthur Port,4036,New Jason
Savory Corner of Station,Martin Valley,428,New Aaron
Delicious Plate of Garden,Yu Brooks,63919,New Julieview
Tasty Spot of River,Christopher Cove,9942,Port Laurahaven
Tasty Kitchen of Station,Cory Springs,6145,West Crystal
Savory Spot of Garden,Keller Underpass,57850,Campbellborough
Hungry Café of Lake,Sharon Ports,111,Lake Margaret
Savory Plate of Garden,Lawson Mall,24692,Michaeltown
Delicious Diner of Hut,Romero Forges,4519,Harrisburgh
Hungry Plate of Hut,Johnson Lights,2039,Lake Theresa
Golden Diner of Hut,Martinez Circle,98262,Daviston
Cozy Tavern of Garden,Becky Tunnel,13546,West Emilyburgh
Delicious Diner of Garden,Tiffany Locks,154,Davidmouth
Hungry Oven of Palace,Shelia Skyway,7431,West Christopherfurt
Savory Plate of Parlor,James Fords,7502,Lake Sharonstad
Delicious Plate of Hut,Beth Points,891,Taylorton
Delicious Diner of Hill,Jennifer Trafficway,619,Julieville
Cozy Plate of Station,Jason Oval,91979,Kimberlyfurt
Hearty Corner of Lake,Betty Views,6746,New Martha
Hearty Diner of Hut,Lynn Ford,1837,Crystalhaven
Spicy Diner of Palace,Campbell Trail,763,Port Matthewhaven
Spicy Diner of Palace,Luna Manor,804,East Nicole
Hungry Plate of Hut,Cruz Junction,2854,East Martinland
Hearty Diner of Lake,Park Cliff,9171,South Courtney
Golden Grill of Station,Ballard Pine,6076,Lake Stephen
Savory Grill of Hill,Day Centers,479,Stephaniehaven
Delicious Spot of River,Sarah Bridge,21072,North Jamesland
Tasty Oven of River,Flores Ridges,7648,Veronicafort
Hungry Kitchen of Station,Anthony Crossing,586,North Jill
Delicious Plate of Garden,Eric Forest,13932,Kimside
Hungry Plate of Lake,Duncan Place,7922,Mcdonaldborough
Hungry Bistro of Parlor,Johnson Canyon,4430,Lake Chad
Golden Diner of Lake,Suzanne Overpass,48101,Sharontown
Delicious Café of Garden,Perkins Streets,89119,West Emilyburgh
Golden Diner of Parlor,Dana Grove,3711,Port Robertview
Golden Oven of Palace,Mckinney Manors,454,South Nicholasmouth
Golden Diner of Parlor,Brady Knolls,145,North Justinside
Tasty Diner of Palace,Eaton Junctions,0177,North Jill
Cozy Diner of Garden,Wilson Radial,564,Bennettview
Golden Spot of Palace,Thompson Estate,77524,North Matthewfurt
Cozy Diner of River,Donovan Village,155,Lake Sharonstad
Hungry Kitchen of Palace,Allen Extension,5592,Lake Jamesville
Hungry Corner of Hill,Tommy Tunnel,35964,North Elizabethstad
Golden Bistro of Garden,Ronald Manors,93925,Willischester
Cozy Oven of Palace,Debra Place,1303,Lake Yvonne
Delicious Tavern of River,Danny Overpass,160,Lake Chad
Hearty Tavern of Hill,Frank Fords,283,South Jerome
Tasty Bistro of Hut,Daniel Crest,240,New Maria
Tasty Diner of River,Edwin Village,169,Rebeccaland
Tasty Grill of Palace,Nicholas Forge,49974,North Justinside
Spicy Plate of River,White Locks,0384,Janemouth
Golden Spot of Garden,Cole Parks,932,South Christian
Savory Plate of Hill,Lee Dam,070,Port Bryan
Cozy Bistro of Parlor,Marissa Rapids,620,Lake Yvonne
Delicious Plate of Hut,Sanford Centers,1866,North Kristitown
Delicious Grill of River,Misty Mountains,52999,South Michael
Golden Bistro of Rooftop,Michael Island,7640,Port Cody
Hearty Diner of Hill,Ingram Dale,0174,Freemanmouth
